title,date,score,url
Ex-Israel Navy chief: Iran burned regional bridges - The Jerusalem Post,2026-03-02,98.96078705787659,https://news.google.com/rss/articles/CBMiakFVX3lxTE1KQUVXdGs1dVBWYmd2clY3TnlVaEllMUdNMFplaHhlLThMV0tzYmZvYXlLY1dYSnpEOE5rQUl0eTFyUmJ6T3NHMmQwbno2X0FHMlNnaG45enhIVVd3UHktODQzb2dSU2FZa1E?oc=5
"Christian leaders react to the US-Israeli strikes in Iran, death of Supreme Leader Ali Khamenei - Christian Post",2026-03-02,98.91920685768127,https://news.google.com/rss/articles/CBMingFBVV95cUxOWE5MTHFoZW81NVdBLXF0TzJNeUJuRGNqVlN6MjhPWG1kUm0ybWdsMUUwcUNIdGhIX0FFY2JNb1JpdFRSMzFBaDBQT2FCcmVMREJRODRpTGFQdU1vWlhFTDk4QXh4SXYxLU94c0ZZSV9wV0VfUTVoSUNQYWZ0STRyUDNNYmpXLThmUEhjWWtZZXBmeEZSTkFobjg5Vm1aQQ?oc=5
"Just one in four Americans supports US strikes on Iran, Reuters/Ipsos poll finds - The Jerusalem Post",2026-03-02,98.91732931137085,https://news.google.com/rss/articles/CBMiakFVX3lxTE1GdXduYTlwOW96bG9RcUw2TlA5YTVScmVHenktV0FneHRXUDg0OGRoNTczZEJKbldESEVvN0JDYi1UUmsxcTRPTWozTUlxdHlmeUdyQnJVczVDdnZpeGN3azdRWWEyenRTd3c?oc=5
"Live Updates: Israelis injured, killed by Iranian missiles - The Jerusalem Post",2026-03-02,98.91027212142944,https://news.google.com/rss/articles/CBMif0FVX3lxTFBwa1U1TWs4Y2tINGhqUlJEUS1laFRVQV9IcExncE5SYVdxUkxXUXlmZXBlZFNQbWZvSks2aks4VDB0ZFhrbkJXUlZxcmNqcmZYaFhScEZ0Q0c0bWJSYnRCcFktRmUtUWhweTNNT3NldHZxMXJ6UHE2Xy1UMnYyTTg?oc=5
Civil initatives return to 24/7 operation amid Iran strikes - The Jerusalem Post,2026-03-02,98.90931844711304,https://news.google.com/rss/articles/CBMiXEFVX3lxTE1oY3ZnUGlRcnpncVJKV1E5WkktZURoSVoxUktoZVhoNkVvbzRDa242akVhSm13LVgxaVRsZm1NVmZEbXBCeVR6NVllblVucUwzVVVlMm51SjVkMUFR?oc=5
"Prepared, not invincible: Israel tested by Iran’s ballistic missile barrages - editorial - The Jerusalem Post",2026-03-02,98.89811277389526,https://news.google.com/rss/articles/CBMiV0FVX3lxTE10TkVoblIwbzg1ZFd4ank3WjFiZmtPTzE4OXl6Q2I5bl9UZEI3UWJoTHc4WmM0X2wxbkIwTUpYR2lMbWZ2RzhGMk16cFdBSHdOcDhnVmNldw?oc=5
Hezbollah leader Mohammad Raad killed in IDF strikes - The Jerusalem Post,2026-03-02,98.89772534370422,https://news.google.com/rss/articles/CBMiXEFVX3lxTE5qLWcxQ1otRlFCUXFXUDlzd0J1SFZqZ0t2VkZoQU9NY1BOZHhSdjZNUWk1LUZocHpMN2NfTUJaUnhUWW9Xdm1lTlJHTThkWkotMXVETExyZkU3VFk2?oc=5
Iran: Oil prices rise and markets fall after strikes across Middle East - Yorkshire Post,2026-03-02,98.89033436775208,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOOEtZaWUzWWx6QW9hcXlqWTJBM09FZTdMQW1jNjlYdnBCcGtjZWtiZDdIY0R3WHJ4bHJvbVVRamc4X19vclYwYlVwajhManFIcFpzUzFkQVFIM2R0bVNLUVZIdEpnX2FnSHFvMlIwc0tNcWI4UEpUWXRpLUJRbW9nUzNJZHVfel9KUHBCTFQ3a0lrSTcxYlNuZFJNQzdfN3IwVlFHNWlpQWNKR2c0MEVPLURubDJXNUxEMFc4?oc=5
Airport closure delays aliyah for 140 hopeful immigrants - The Jerusalem Post,2026-03-02,98.89032244682312,https://news.google.com/rss/articles/CBMiVkFVX3lxTFBUenRTeTRCU190elh0Ty1Xd0tiWHIwcUd0TEJtdjAtWS1XV0tza09Qa2dEdl9xQXBkenA5NF93QktmRzJmT2VHcWY1Zy1NN0w4dV8wWVJn?oc=5
Sirens sound in Israel as Israel-Iran war continues - The Jerusalem Post,2026-03-02,98.8899290561676,https://news.google.com/rss/articles/CBMiXEFVX3lxTE1DTU9ER18teUhtaTFMc1FVREFtOUVVZzJER3R0bWNCbVkyMkJNQ0x4NGdpcWYxeEZpLVB5NlA0Mk5UODVkREQ5OHdmODNuQ3E5ZzJvanFkbUtFdnFH?oc=5
